Name	Fraction	Experiment
20110927_Velos3_DiWa_SA_Celegans_AggregatesSILAC_WT_D01#4-3	23	AgWTD01-4
20110927_Velos3_DiWa_SA_Celegans_AggregatesSILAC_WT_D01#4-4	24	AgWTD01-4
20110927_Velos3_DiWa_SA_Celegans_AggregatesSILAC_WT_D01#4-5	25	AgWTD01-4
20110919_Velos4_DiWa_SA_Celegans_AggregatesSILAC_WT_D06-1	21	AgWTD06
20110919_Velos4_DiWa_SA_Celegans_AggregatesSILAC_WT_D06-2	22	AgWTD06
20110919_Velos4_DiWa_SA_Celegans_AggregatesSILAC_WT_D06-3	23	AgWTD06
20110919_Velos4_DiWa_SA_Celegans_AggregatesSILAC_WT_D06-4	24	AgWTD06
20110921_Velos3_DiWa_SA_Celegans_AggregatesSILAC_WT_D06-5	25	AgWTD06
20110919_Velos4_DiWa_SA_Celegans_AggregatesSILAC_WT_D12#1-1	21	AgWTD12-1
20110919_Velos4_DiWa_SA_Celegans_AggregatesSILAC_WT_D12#1-2	22	AgWTD12-1
20110919_Velos4_DiWa_SA_Celegans_AggregatesSILAC_WT_D12#1-3	23	AgWTD12-1
20110919_Velos4_DiWa_SA_Celegans_AggregatesSILAC_WT_D12#1-4	24	AgWTD12-1
20110919_Velos4_DiWa_SA_Celegans_AggregatesSILAC_WT_D12#1-5	25	AgWTD12-1
20110919_Velos4_DiWa_SA_Celegans_AggregatesSILAC_WT_D12#2-1	21	AgWTD12-2
20110919_Velos4_DiWa_SA_Celegans_AggregatesSILAC_WT_D12#2-2	22	AgWTD12-2
20110919_Velos4_DiWa_SA_Celegans_AggregatesSILAC_WT_D12#2-3	23	AgWTD12-2
20110919_Velos4_DiWa_SA_Celegans_AggregatesSILAC_WT_D12#2-4	24	AgWTD12-2
20110919_Velos4_DiWa_SA_Celegans_AggregatesSILAC_WT_D12#2-5	25	AgWTD12-2
20110927_Velos3_DiWa_SA_Celegans_AggregatesSILAC_WT_D12#3-1	21	AgWTD12-3
20110927_Velos3_DiWa_SA_Celegans_AggregatesSILAC_WT_D12#3-2	22	AgWTD12-3
20110927_Velos3_DiWa_SA_Celegans_AggregatesSILAC_WT_D12#3-3	23	AgWTD12-3
20110927_Velos3_DiWa_SA_Celegans_AggregatesSILAC_WT_D12#3-4	24	AgWTD12-3
20110927_Velos3_DiWa_SA_Celegans_AggregatesSILAC_WT_D12#3-5	25	AgWTD12-3
20110927_Velos3_DiWa_SA_Celegans_AggregatesSILAC_WT_D12#4-1	21	AgWTD12-4
20110927_Velos3_DiWa_SA_Celegans_AggregatesSILAC_WT_D12#4-2	22	AgWTD12-4
20110927_Velos3_DiWa_SA_Celegans_AggregatesSILAC_WT_D12#4-3	23	AgWTD12-4
20110927_Velos3_DiWa_SA_Celegans_AggregatesSILAC_WT_D12#4-4	24	AgWTD12-4
20110927_Velos3_DiWa_SA_Celegans_AggregatesSILAC_WT_D12#4-5	25	AgWTD12-4
20110921_Velos3_DiWa_SA_Celegans_AggregatesSILAC_WT_D17-1	21	AgWTD17
20110921_Velos3_DiWa_SA_Celegans_AggregatesSILAC_WT_D17-2	22	AgWTD17
20110921_Velos3_DiWa_SA_Celegans_AggregatesSILAC_WT_D17-3	23	AgWTD17
20110921_Velos3_DiWa_SA_Celegans_AggregatesSILAC_WT_D17-4	24	AgWTD17
20110921_Velos3_DiWa_SA_Celegans_AggregatesSILAC_WT_D17-5	25	AgWTD17
20110921_Velos3_DiWa_SA_Celegans_AggregatesSILAC_DAF16_D01-1	21	AgDAF16D01
20110921_Velos3_DiWa_SA_Celegans_AggregatesSILAC_DAF16_D01-2	22	AgDAF16D01
20110921_Velos3_DiWa_SA_Celegans_AggregatesSILAC_DAF16_D01-3	23	AgDAF16D01
